ID de la playlist,ID des chaînes,Date et heure de création,Date et heure de mise à jour,Titre,Description,Visibilité
PLy0L-A3Ggd6uXCKeS6lxN_FdJhCZtr1BC,UCRdDMa9ryNyZhMIxQPhR1tA,2016-07-29 19:53:56 UTC,2021-09-25 17:32:56 UTC,Watch later,,Personnel

ID vidéo,Date et heure d'ajout
n_LFUNpPj8o,2020-09-27 13:11:59 UTC
AF2NrrJB8zA,2020-09-26 22:05:09 UTC
Cucs-ZLzp_E,2020-09-26 07:38:10 UTC
EsaEslrPKE8,2020-09-24 05:13:06 UTC
MvTFF-E5wkw,2020-09-23 20:07:45 UTC
AlG4VBz_2hI,2020-09-23 07:45:33 UTC
W47VSKCqeWU,2020-09-19 16:13:28 UTC
S4zyEhIHitU,2020-09-16 05:53:54 UTC
JVQbUt980Xo,2020-09-16 05:53:36 UTC
NGOEO_R1uRY,2020-09-16 05:37:13 UTC
Axz-5f32cnw,2020-09-15 06:18:55 UTC
SOTftGjob2M,2020-09-14 04:57:30 UTC
p9YUjzmiiSk,2020-09-12 22:56:01 UTC
jfSg2CFOWNU,2020-09-12 08:08:53 UTC
93-_r0w7ykI,2020-09-09 20:04:00 UTC
_hyPif9yhX0,2020-09-09 06:20:22 UTC
7SvSni7xR5o,2020-09-08 22:57:41 UTC
iXWbQ-J7xYg,2020-09-08 17:34:07 UTC
y2-hRaE0z1U,2020-09-08 03:21:12 UTC
GFD37HvGx6k,2020-09-07 22:20:34 UTC
x5eSZevcyNg,2020-09-06 01:33:55 UTC
9vrqeH9StTA,2020-09-06 01:33:36 UTC
QKx-eMAVK70,2020-09-02 12:00:05 UTC
aHug_-13tDU,2020-08-31 20:47:59 UTC
kONOIeoNtyc,2020-08-29 16:30:45 UTC
Mp6YyIybmhc,2020-08-29 16:29:58 UTC
4C_UJFKLPIg,2020-08-27 09:12:57 UTC
sSvcSlomqqE,2020-08-27 01:38:22 UTC
-0xKzta9S4o,2020-08-26 13:09:17 UTC
7fEprfLN4i8,2020-08-26 11:20:22 UTC
Br8jUFpreFQ,2020-08-25 17:17:11 UTC
LhQCd9176Yw,2020-08-25 17:16:40 UTC
a8ZAOyCuOjE,2020-08-24 00:31:38 UTC
0b26qNgi8CY,2020-08-23 20:54:59 UTC
hV4wY2rjAWY,2020-08-19 23:36:18 UTC
4m7BYVJvVFE,2020-08-19 23:36:07 UTC
gG_dA32oH44,2020-08-17 23:37:28 UTC
Ee1RD6eHzhY,2020-08-17 13:37:09 UTC
bDb7Qwwzgyg,2020-08-14 21:50:03 UTC
Fj7oagHAQ7Y,2020-08-13 00:46:54 UTC
Q3rIxSi3GK0,2020-08-05 19:52:17 UTC
nQqBOz8bkBE,2020-08-04 19:17:49 UTC
V6p-0Vw5uXo,2020-08-04 13:25:30 UTC
gK005eDLGNk,2020-08-04 13:25:25 UTC
2KCtXJUekyo,2020-08-04 13:25:17 UTC
WBjJI_H5Jc0,2020-08-03 01:31:20 UTC
JLh77gERfHc,2020-08-02 15:07:19 UTC
osYrc3zb_k4,2020-07-30 21:10:25 UTC
rnK-jYzaWtw,2020-07-30 15:03:27 UTC
